Region,Species,Population,Species Category,Behavior,Habitat Preference,Trophic Level,Water Temperature (°C),Nutrient Levels
Eastern Reef,Jellyfish,16,Endemic,Schooling,Reef Crest,Herbivore,28.676935163486185,0.8644503847529871
Northern Reef,Crab,87,Endemic,Solitary,Reef Crest,Herbivore,28.53152674193413,0.7340404898749514
Northern Reef,Jellyfish,65,Invasive,Solitary,Deep,Carnivore,21.01081144188515,0.7457507907909495
Western Reef,Fish,43,Invasive,Aggressive,Reef Crest,Omnivore,23.061715836422053,0.3932253371895855
Northern Reef,Jellyfish,18,Endemic,Schooling,Deep,Omnivore,27.286950503742574,0.6362485894860552
Northern Reef,Crab,23,Invasive,Schooling,Reef Crest,Carnivore,29.19825446588591,0.6271753166853509
Southern Reef,Fish,4,Endemic,Aggressive,Deep,Omnivore,21.2250022170667,0.13538944069889533
Southern Reef,Crab,5,Endemic,Solitary,Deep,Herbivore,28.001147958987843,0.2038426582514032
Northern Reef,Crab,96,Endemic,Schooling,Shallow,Omnivore,25.098787164843714,0.10014508262942723
Northern Reef,Coral,70,Endemic,Solitary,Shallow,Herbivore,26.543362882964956,0.13104171884180238
Northern Reef,Crab,78,Invasive,Solitary,Shallow,Carnivore,20.190568538738045,0.28825666204219835
Southern Reef,Fish,18,Endemic,Aggressive,Reef Crest,Herbivore,22.669413651152162,0.8595626547987152
Eastern Reef,Fish,2,Invasive,Schooling,Deep,Herbivore,23.47123143690322,0.744236620795451
Eastern Reef,Crab,47,Invasive,Aggressive,Deep,Carnivore,20.94707691135496,0.7975844036096825
Western Reef,Fish,12,Endemic,Solitary,Shallow,Herbivore,27.386967125026715,0.5085039276553104
Eastern Reef,Crab,31,Invasive,Solitary,Reef Crest,Herbivore,23.755511136867394,0.1727227535769444
Western Reef,Fish,70,Invasive,Solitary,Shallow,Herbivore,23.371821430514913,0.46991351272494575
Northern Reef,Crab,86,Endemic,Schooling,Deep,Carnivore,25.92026771088096,0.6545975929260381
Southern Reef,Coral,19,Endemic,Solitary,Deep,Carnivore,23.77183675330404,0.46244641741474823
Southern Reef,Fish,30,Invasive,Aggressive,Deep,Herbivore,29.55979727257609,0.40390894528662846
Southern Reef,Coral,50,Invasive,Aggressive,Shallow,Omnivore,25.76921372379092,0.618899225715644
Eastern Reef,Crab,17,Invasive,Solitary,Deep,Omnivore,23.04528201639267,0.45457415341006
Western Reef,Coral,87,Invasive,Schooling,Reef Crest,Omnivore,29.3517284268625,0.7336958743903823
Eastern Reef,Jellyfish,37,Invasive,Schooling,Deep,Omnivore,25.606407442055072,0.8974549429741188
Eastern Reef,Jellyfish,81,Endemic,Schooling,Shallow,Omnivore,27.45906017741987,0.24150480921688758
Northern Reef,Jellyfish,40,Endemic,Schooling,Reef Crest,Omnivore,29.09539663771445,0.538310298374875
Northern Reef,Crab,23,Endemic,Aggressive,Deep,Omnivore,26.62903071339931,0.5195817793798628
Eastern Reef,Crab,83,Endemic,Aggressive,Reef Crest,Herbivore,21.733162660974457,0.7985107887890248
Northern Reef,Coral,16,Invasive,Aggressive,Reef Crest,Omnivore,23.501870910024593,0.14893906936861692
Western Reef,Crab,78,Endemic,Schooling,Shallow,Herbivore,20.729380337650685,0.5485255736541406
Eastern Reef,Jellyfish,33,Endemic,Aggressive,Deep,Herbivore,23.596976983472167,0.8961405746638605
Western Reef,Coral,51,Endemic,Schooling,Shallow,Omnivore,29.96385977651504,0.44977356025947546
Northern Reef,Coral,86,Endemic,Solitary,Shallow,Carnivore,25.649943804558575,0.4091054222734669
Southern Reef,Fish,75,Invasive,Solitary,Deep,Omnivore,21.810992317994025,0.45146199394439523
Northern Reef,Coral,55,Invasive,Schooling,Deep,Omnivore,24.491451026732413,0.5459462368781535
Western Reef,Coral,42,Endemic,Solitary,Shallow,Omnivore,22.369172582921834,0.8142206910534283
Eastern Reef,Crab,85,Endemic,Solitary,Shallow,Carnivore,29.36065204867929,0.47570946189024077
Northern Reef,Jellyfish,35,Endemic,Solitary,Shallow,Herbivore,26.55757038117857,0.5050965769607272
Southern Reef,Jellyfish,45,Invasive,Aggressive,Reef Crest,Herbivore,25.74757451843793,0.8053761613838625
Western Reef,Crab,86,Invasive,Schooling,Reef Crest,Carnivore,20.96406400461341,0.6433481722497916
Western Reef,Fish,98,Invasive,Solitary,Reef Crest,Carnivore,27.565982086838765,0.13299317529809562
Eastern Reef,Jellyfish,76,Endemic,Solitary,Reef Crest,Herbivore,25.441431881819213,0.27326665913496423
Western Reef,Crab,82,Invasive,Solitary,Shallow,Omnivore,24.515537347225077,0.5054381674581987
Western Reef,Crab,69,Endemic,Schooling,Shallow,Omnivore,26.954262371933215,0.4639186448690138
Northern Reef,Crab,71,Invasive,Schooling,Reef Crest,Herbivore,22.65454329237148,0.8142439521556005
Western Reef,Coral,3,Endemic,Solitary,Shallow,Herbivore,22.792295760186462,0.42639900552896015
Northern Reef,Fish,10,Endemic,Schooling,Deep,Carnivore,24.7407862956112,0.2875466677564018
Western Reef,Crab,44,Endemic,Solitary,Reef Crest,Omnivore,21.20703560026743,0.4722074443531824
Eastern Reef,Jellyfish,45,Endemic,Schooling,Deep,Omnivore,20.566575834286684,0.8275843638293019
Eastern Reef,Crab,57,Invasive,Schooling,Reef Crest,Omnivore,23.15848609907025,0.3592238395213936
Southern Reef,Fish,14,Invasive,Schooling,Deep,Carnivore,21.041112267194876,0.7704120357912099
Eastern Reef,Fish,7,Endemic,Schooling,Shallow,Herbivore,27.06559079482544,0.10527175650864039
Northern Reef,Jellyfish,71,Invasive,Solitary,Shallow,Herbivore,26.976750944158976,0.38368047507956127
Northern Reef,Jellyfish,3,Endemic,Schooling,Shallow,Carnivore,21.28970145591061,0.17653077568747141
Western Reef,Coral,68,Invasive,Aggressive,Shallow,Carnivore,25.159483891968467,0.4490568744948672
Northern Reef,Jellyfish,67,Invasive,Schooling,Deep,Carnivore,25.56110641437572,0.16433100833660996
Western Reef,Coral,13,Endemic,Aggressive,Reef Crest,Carnivore,22.547391319768582,0.6935302914643536
Western Reef,Jellyfish,7,Endemic,Solitary,Shallow,Omnivore,26.10399746044187,0.6544620168353713
Southern Reef,Fish,86,Endemic,Aggressive,Shallow,Herbivore,21.599532557077897,0.7696919126706566
Eastern Reef,Crab,66,Endemic,Schooling,Deep,Herbivore,24.225309548520965,0.5661993917264198
Northern Reef,Coral,56,Endemic,Schooling,Deep,Carnivore,29.762478969579078,0.13728315870235372
Western Reef,Fish,38,Invasive,Solitary,Reef Crest,Carnivore,22.799504240271744,0.3051408433703385
Western Reef,Coral,8,Invasive,Aggressive,Shallow,Carnivore,25.869275672925383,0.4131562817713149
Eastern Reef,Coral,39,Invasive,Solitary,Reef Crest,Omnivore,26.615005570744433,0.8917713533997014
Eastern Reef,Coral,1,Invasive,Schooling,Shallow,Herbivore,20.759667623101834,0.7455302136557401
Northern Reef,Crab,6,Endemic,Schooling,Reef Crest,Carnivore,27.581403202456855,0.292637816788006
Southern Reef,Crab,69,Invasive,Schooling,Deep,Omnivore,22.416054763419286,0.1857878425196991
Western Reef,Crab,86,Invasive,Aggressive,Reef Crest,Carnivore,26.824506084386133,0.6399150745024018
Western Reef,Fish,51,Invasive,Schooling,Deep,Herbivore,20.34381760778825,0.41643878809955026
Eastern Reef,Coral,91,Invasive,Aggressive,Deep,Herbivore,24.211451993638683,0.48705272797933497
Northern Reef,Jellyfish,76,Endemic,Schooling,Shallow,Herbivore,23.356031969438327,0.2828379127220434
Eastern Reef,Crab,63,Invasive,Solitary,Reef Crest,Herbivore,28.172562222388642,0.3306271270321728
Eastern Reef,Crab,64,Endemic,Aggressive,Shallow,Omnivore,23.937420904071733,0.4967524970992624
Northern Reef,Fish,3,Endemic,Schooling,Reef Crest,Omnivore,24.888146448855686,0.22476143438519713
Eastern Reef,Coral,46,Endemic,Solitary,Shallow,Carnivore,26.18653009645277,0.695501722218035
Northern Reef,Jellyfish,96,Invasive,Solitary,Shallow,Carnivore,29.055283863587945,0.5670632914052741
Western Reef,Coral,44,Invasive,Schooling,Reef Crest,Omnivore,23.101219402194236,0.2838531670817115
Northern Reef,Fish,20,Endemic,Schooling,Reef Crest,Herbivore,29.259444345845903,0.7151873202024726
Eastern Reef,Fish,33,Endemic,Schooling,Shallow,Carnivore,29.54236589373069,0.11947576413846753
Eastern Reef,Fish,85,Invasive,Aggressive,Reef Crest,Herbivore,23.715859621156575,0.4508882235404956
Western Reef,Coral,25,Invasive,Solitary,Reef Crest,Omnivore,26.94857068444441,0.7284115201516047
Eastern Reef,Crab,69,Invasive,Solitary,Deep,Herbivore,27.77670394962597,0.18606598133110125
Eastern Reef,Coral,5,Invasive,Solitary,Reef Crest,Carnivore,20.154370579614046,0.1411418089789126
Northern Reef,Jellyfish,39,Invasive,Solitary,Reef Crest,Carnivore,28.909260387942904,0.838456775372052
Western Reef,Crab,93,Invasive,Schooling,Shallow,Herbivore,29.611824272567777,0.40547773440871715
Western Reef,Fish,95,Invasive,Aggressive,Deep,Omnivore,29.225321185770945,0.20686399847104672
Western Reef,Coral,19,Endemic,Schooling,Reef Crest,Carnivore,28.172302138501728,0.320038225988477
Eastern Reef,Crab,96,Endemic,Solitary,Reef Crest,Omnivore,24.115372550621096,0.7403111113593498
Eastern Reef,Crab,74,Invasive,Schooling,Reef Crest,Omnivore,21.237118856200002,0.8654141244462383
Southern Reef,Jellyfish,3,Endemic,Aggressive,Shallow,Omnivore,20.11114675067428,0.836674087494316
Northern Reef,Coral,74,Invasive,Aggressive,Reef Crest,Carnivore,22.323410883175402,0.6243580251562191
Western Reef,Crab,19,Endemic,Aggressive,Deep,Carnivore,23.271448335836553,0.7382646700616546
Western Reef,Crab,42,Invasive,Schooling,Reef Crest,Herbivore,28.92594024413803,0.6766774717314041
Eastern Reef,Fish,50,Endemic,Solitary,Reef Crest,Herbivore,22.17410333585033,0.32598938193263394
Western Reef,Fish,1,Invasive,Schooling,Reef Crest,Omnivore,29.86421026274257,0.5851891907417713
Southern Reef,Fish,8,Invasive,Solitary,Shallow,Omnivore,29.54105195128036,0.5639614800581277
Eastern Reef,Coral,22,Endemic,Solitary,Shallow,Carnivore,21.829139104815162,0.2640961762279946
Western Reef,Coral,85,Endemic,Solitary,Deep,Carnivore,20.13385490026387,0.6956868444872383
Northern Reef,Crab,64,Endemic,Solitary,Deep,Carnivore,29.478522615387924,0.8564095190587102
Eastern Reef,Coral,66,Invasive,Aggressive,Deep,Carnivore,23.4515436702397,0.45452575543966656
Western Reef,Fish,20,Invasive,Aggressive,Reef Crest,Omnivore,27.06604361173993,0.622501834996799
Western Reef,Crab,45,Invasive,Solitary,Reef Crest,Carnivore,28.855434624830785,0.8397388448386925
Western Reef,Coral,57,Invasive,Schooling,Shallow,Omnivore,25.546863157764392,0.8745513510112538
Southern Reef,Crab,88,Invasive,Solitary,Shallow,Carnivore,24.0315138103717,0.28345119081292214
Northern Reef,Coral,19,Invasive,Schooling,Reef Crest,Omnivore,28.85328390406459,0.8126158352147164
Eastern Reef,Jellyfish,81,Endemic,Solitary,Deep,Omnivore,29.10155349637236,0.5110842030710507
Western Reef,Coral,19,Invasive,Solitary,Shallow,Herbivore,23.345393625827914,0.4818270201722622
Southern Reef,Coral,42,Invasive,Schooling,Deep,Herbivore,28.708888506927504,0.42402135474875424
Western Reef,Jellyfish,10,Invasive,Solitary,Deep,Herbivore,20.093526318177556,0.6800362290084239
Southern Reef,Coral,98,Endemic,Solitary,Deep,Herbivore,26.748550704567492,0.6188221188869211
Eastern Reef,Jellyfish,92,Endemic,Schooling,Deep,Omnivore,28.154765879909355,0.6355707233870856
Southern Reef,Jellyfish,96,Endemic,Schooling,Reef Crest,Carnivore,23.230233985135992,0.3958614758396316
Eastern Reef,Crab,74,Endemic,Schooling,Shallow,Herbivore,28.08078967836095,0.2547435599124307
Western Reef,Jellyfish,78,Invasive,Aggressive,Reef Crest,Herbivore,23.843672575703547,0.10609953216728396
Northern Reef,Crab,97,Endemic,Aggressive,Shallow,Omnivore,22.72756451956006,0.3102401004677995
Southern Reef,Jellyfish,78,Endemic,Solitary,Reef Crest,Carnivore,29.02322480461571,0.5671798484045986
Northern Reef,Fish,35,Endemic,Schooling,Reef Crest,Carnivore,24.77211257599463,0.5344368353750022
Southern Reef,Jellyfish,34,Invasive,Aggressive,Reef Crest,Carnivore,28.39681725704864,0.20202609958327172
Eastern Reef,Coral,46,Invasive,Solitary,Reef Crest,Carnivore,29.220027096961633,0.6117564030546996
Western Reef,Coral,17,Endemic,Solitary,Deep,Herbivore,21.456890599471045,0.6437049456953621
Northern Reef,Fish,91,Endemic,Solitary,Shallow,Herbivore,28.888943506323606,0.15550926250242478
Eastern Reef,Jellyfish,67,Invasive,Schooling,Reef Crest,Herbivore,21.50458841473248,0.5149633822247848
Western Reef,Fish,76,Endemic,Aggressive,Deep,Carnivore,27.78610532551837,0.7063410635605244
Southern Reef,Coral,16,Endemic,Aggressive,Reef Crest,Omnivore,20.16963490066427,0.13565376674292384
Western Reef,Jellyfish,10,Endemic,Solitary,Reef Crest,Omnivore,28.533114846126054,0.4217349977140049
Eastern Reef,Coral,96,Endemic,Solitary,Deep,Carnivore,21.479570474022417,0.7970865136585809
Western Reef,Jellyfish,11,Invasive,Schooling,Deep,Omnivore,28.703061064125826,0.36592084868802444
Northern Reef,Coral,48,Endemic,Aggressive,Deep,Herbivore,28.891556740531456,0.39454723563560157
Northern Reef,Jellyfish,3,Endemic,Schooling,Shallow,Herbivore,24.680255786686985,0.41588655998137647
Southern Reef,Jellyfish,67,Endemic,Solitary,Deep,Carnivore,25.058307641253634,0.6258076722450933
Northern Reef,Crab,69,Endemic,Aggressive,Shallow,Omnivore,20.695487094647575,0.5080978485823477
Eastern Reef,Jellyfish,18,Endemic,Solitary,Deep,Carnivore,23.500143758659306,0.1517158056117828
Western Reef,Fish,94,Invasive,Solitary,Reef Crest,Carnivore,28.524632221954313,0.425380796825641
Southern Reef,Jellyfish,61,Endemic,Schooling,Reef Crest,Herbivore,23.770128011795492,0.3918999142394062
Southern Reef,Coral,31,Endemic,Solitary,Shallow,Carnivore,26.957719843346435,0.8579474363990744
Northern Reef,Fish,53,Endemic,Schooling,Shallow,Herbivore,25.486482911218022,0.12566354871186178
Eastern Reef,Jellyfish,76,Endemic,Solitary,Deep,Carnivore,25.340161275204238,0.5185665461817981
Southern Reef,Jellyfish,88,Endemic,Solitary,Shallow,Herbivore,23.41484216303897,0.13310098974134627
Eastern Reef,Fish,44,Invasive,Aggressive,Reef Crest,Herbivore,20.334320223443452,0.7425258100203472
Eastern Reef,Jellyfish,5,Invasive,Aggressive,Reef Crest,Herbivore,29.66098912283273,0.1768137346647281
Eastern Reef,Jellyfish,18,Endemic,Aggressive,Shallow,Carnivore,20.089767781385632,0.5687171068573627
Northern Reef,Crab,97,Invasive,Schooling,Deep,Herbivore,22.44216729030836,0.7129608569990825
Western Reef,Crab,55,Invasive,Schooling,Deep,Carnivore,23.05590408414384,0.6338177795980069
Western Reef,Crab,47,Endemic,Schooling,Deep,Herbivore,28.397747855151252,0.83449752915957
Eastern Reef,Jellyfish,49,Invasive,Solitary,Reef Crest,Omnivore,21.19864515061886,0.2961827599850132
Northern Reef,Jellyfish,51,Endemic,Schooling,Deep,Carnivore,20.186429303090495,0.860535825789051
Northern Reef,Coral,31,Endemic,Schooling,Shallow,Carnivore,29.120562519473093,0.5213533231821764
Western Reef,Jellyfish,98,Endemic,Aggressive,Reef Crest,Carnivore,22.82685840066924,0.6367878270707056
Eastern Reef,Crab,20,Endemic,Aggressive,Reef Crest,Omnivore,24.104561844571112,0.8663245980188834
Eastern Reef,Coral,59,Invasive,Solitary,Shallow,Carnivore,28.90482260531813,0.8044408614641475
Northern Reef,Coral,32,Invasive,Aggressive,Shallow,Herbivore,27.483837257545463,0.471100345516802
Western Reef,Crab,74,Endemic,Schooling,Shallow,Omnivore,20.09878530101353,0.48841079167339074
Western Reef,Coral,40,Endemic,Aggressive,Reef Crest,Omnivore,26.339256390532746,0.8150507049379917
Western Reef,Crab,85,Endemic,Schooling,Shallow,Herbivore,25.88037173966049,0.21126159613156734
Southern Reef,Jellyfish,84,Invasive,Solitary,Shallow,Omnivore,23.890252016352633,0.1956439808275878
Northern Reef,Jellyfish,8,Endemic,Aggressive,Shallow,Herbivore,29.04420257433301,0.7872305157695844
Eastern Reef,Coral,52,Endemic,Aggressive,Deep,Omnivore,24.976213475011463,0.5500122597755428
Eastern Reef,Crab,60,Invasive,Aggressive,Shallow,Herbivore,24.955763290315552,0.8394986948708261
Northern Reef,Jellyfish,60,Invasive,Solitary,Reef Crest,Omnivore,24.365604964544147,0.2309833770854377
Western Reef,Crab,82,Invasive,Schooling,Shallow,Herbivore,23.567955244891813,0.540757082183464
Eastern Reef,Coral,68,Invasive,Schooling,Deep,Herbivore,29.525898593479063,0.7645990032925435
Eastern Reef,Jellyfish,58,Endemic,Schooling,Reef Crest,Carnivore,24.328377204388374,0.48362749455101495
Western Reef,Fish,52,Invasive,Solitary,Deep,Herbivore,29.925029574903924,0.24050160389398184
Eastern Reef,Jellyfish,16,Endemic,Aggressive,Reef Crest,Carnivore,23.665161440417926,0.46173127771765077
Northern Reef,Coral,69,Endemic,Solitary,Reef Crest,Carnivore,28.872166042726228,0.6922329101376833
Western Reef,Coral,2,Invasive,Solitary,Reef Crest,Carnivore,23.769927619481855,0.5744283057587188
Western Reef,Jellyfish,77,Invasive,Aggressive,Shallow,Omnivore,24.969632646241706,0.763842244526064
Eastern Reef,Fish,70,Invasive,Aggressive,Deep,Omnivore,21.21654273717671,0.5481171770902008
Southern Reef,Fish,60,Endemic,Aggressive,Shallow,Herbivore,21.232188031268073,0.868709782388409
Northern Reef,Coral,87,Endemic,Solitary,Reef Crest,Herbivore,22.682820550866595,0.2541327890766507
Eastern Reef,Crab,63,Invasive,Aggressive,Deep,Herbivore,27.50468975707217,0.37080453824447357
Western Reef,Crab,34,Invasive,Schooling,Reef Crest,Carnivore,21.81036781985884,0.868896958725601
Eastern Reef,Coral,28,Invasive,Solitary,Deep,Omnivore,27.41915455998867,0.732593438418661
Western Reef,Fish,32,Invasive,Solitary,Deep,Omnivore,27.91144205061111,0.5955684326767716
Southern Reef,Fish,10,Endemic,Solitary,Reef Crest,Carnivore,28.439389105937337,0.6469212153964962
Eastern Reef,Fish,38,Endemic,Aggressive,Reef Crest,Omnivore,20.137047324519855,0.21900782246190742
Southern Reef,Crab,71,Invasive,Solitary,Shallow,Herbivore,22.79182095198442,0.6230500023455245
Eastern Reef,Fish,67,Invasive,Aggressive,Deep,Omnivore,26.706320923590866,0.15046099580498629
Southern Reef,Jellyfish,64,Invasive,Solitary,Reef Crest,Omnivore,26.861621359083692,0.7276506734476785
Western Reef,Coral,21,Endemic,Schooling,Reef Crest,Carnivore,29.233960656459434,0.32665456940167714
Western Reef,Crab,75,Invasive,Schooling,Shallow,Carnivore,25.94420150130052,0.6685105374241856
Southern Reef,Jellyfish,58,Invasive,Schooling,Deep,Herbivore,29.330492780992053,0.5225296345111163
Southern Reef,Crab,26,Endemic,Aggressive,Reef Crest,Omnivore,21.374785202922688,0.4457497204378166
Western Reef,Fish,43,Endemic,Schooling,Deep,Herbivore,20.176795359424933,0.7072585749215391
Western Reef,Jellyfish,93,Invasive,Solitary,Deep,Omnivore,26.723555319387987,0.49888287500847217
Northern Reef,Fish,7,Invasive,Aggressive,Deep,Carnivore,20.159644721836784,0.5095595735182398
Northern Reef,Crab,32,Invasive,Schooling,Shallow,Omnivore,20.978184679146928,0.4093914512536463
Eastern Reef,Jellyfish,28,Endemic,Solitary,Shallow,Herbivore,27.524969755108092,0.7151444032188355
Eastern Reef,Crab,78,Invasive,Solitary,Reef Crest,Carnivore,25.212078468329565,0.5166163961568835
Western Reef,Crab,63,Endemic,Schooling,Reef Crest,Omnivore,28.72435334463068,0.5585517848155838
Eastern Reef,Coral,38,Endemic,Solitary,Deep,Herbivore,23.442363413026207,0.8221395947979481
Southern Reef,Crab,7,Invasive,Solitary,Deep,Carnivore,23.09895614207631,0.3316563924638699
Eastern Reef,Crab,95,Invasive,Schooling,Deep,Carnivore,23.489999584304314,0.12542260890083226
Eastern Reef,Coral,23,Invasive,Solitary,Reef Crest,Carnivore,24.713427831416297,0.7113432287032483
Western Reef,Crab,40,Endemic,Solitary,Deep,Omnivore,23.109766740651565,0.28111510263771977
Western Reef,Coral,88,Invasive,Solitary,Reef Crest,Carnivore,26.11680849803259,0.5147875817976304
Western Reef,Fish,71,Endemic,Aggressive,Shallow,Herbivore,23.91415700211002,0.7966072862423332
Southern Reef,Crab,20,Invasive,Solitary,Reef Crest,Omnivore,25.769022872646154,0.468661989788832
Southern Reef,Fish,35,Invasive,Solitary,Shallow,Carnivore,28.799757156258295,0.45667219201851084
Western Reef,Coral,29,Invasive,Aggressive,Deep,Omnivore,22.115117420003518,0.77745286945823
Eastern Reef,Crab,51,Invasive,Schooling,Shallow,Omnivore,26.061903845326142,0.8998943165043615
Southern Reef,Crab,79,Invasive,Solitary,Reef Crest,Omnivore,25.08129111519171,0.21784090293492098
Northern Reef,Crab,96,Endemic,Schooling,Shallow,Carnivore,28.714474498206858,0.6683847011310978
