ID,location,temperature,air_quality_index,wind_speed,humidity,precipitation
AF3B1113-7F9E-2474-4C16-9CB8BC12910E,Adelaide,35°C,40,7km/h,No,4mm
2E34B6DD-1952-047C-44E5-BF5503C843C7,Cairns,30°C,24,4km/h,Yes,8mm
194486F9-43A7-4325-4B9D-CE9641A27DF2,Cairns,35°C,33,5km/h,No,5mm
517D1CED-951D-3881-9DE7-AF9FD9119A17,Adelaide,30°C,55,5km/h,Yes,15mm
17904D9C-1A36-65E4-6ED1-66B79F049715,Adelaide,36°C,29,7km/h,No,3mm
4C72712F-7235-378F-98E2-F5E9AEB70E86,Perth,36°C,55,5km/h,No,4mm
F8349309-1FC3-3F9F-9F44-1D6AC6906FED,Sydney,35°C,57,5km/h,No,3mm
50BDED63-8B10-9278-548B-79AB095D190C,Cairns,27°C,14,3km/h,Yes,12mm
BC321FBB-8AC9-8FE5-6EDD-48F7FFB6429B,Adelaide,27°C,45,7km/h,Yes,14mm
B3960DA2-6F8B-9559-71AB-98050FDD9DB7,Melbourne,30°C,8,6km/h,No,9mm
9A43D9E8-6523-5B6B-0A59-36AD696E2391,Sydney,35°C,6,5km/h,No,5mm
6270175D-5AB1-0F3E-707E-89B10D22479C,Cairns,35°C,15,3km/h,No,5mm
9967FF0A-36E1-8257-1AF4-7BFC29136E3D,Melbourne,29°C,52,5km/h,Yes,12mm
83794335-47C7-425E-1DE1-C608D9F82532,Sydney,31°C,18,7km/h,Yes,7mm
E456EBEF-718A-2EDE-01B4-38259DA656EB,Darwin,33°C,15,6km/h,Yes,6mm
BA9C03C8-A554-9906-0BF8-71AE73061B5B,Adelaide,29°C,45,7km/h,Yes,15mm
2073F2BA-37B6-218B-7DD8-64D67B1D4FB8,Melbourne,30°C,44,4km/h,No,9mm
DED7D2F5-5584-9EA1-10BE-FA5978589F3F,Darwin,30°C,17,6km/h,Yes,14mm
85F1DD3C-428E-43CB-53F7-1D8353D81CD1,Perth,30°C,59,7km/h,Yes,11mm
4CA44E89-291C-03E9-0835-135014C944C5,Cairns,28°C,34,7km/h,Yes,11mm
E2DD025E-8208-0CE2-84A7-39DAA9AA4B0B,Sydney,32°C,15,4km/h,No,8mm
51ADA9E2-0617-7E0B-08CE-4BB302419378,Adelaide,34°C,44,6km/h,No,7mm
8D85FB80-841B-7A2B-A6D1-996D4A3A7497,Cairns,36°C,48,4km/h,No,5mm
5386914A-3C24-7795-031E-DA4CBF3D2EF3,Sydney,31°C,30,3km/h,Yes,8mm
32526468-0BD8-6149-1B43-20DD535124EB,Melbourne,32°C,33,6km/h,Yes,7mm
FE3F6AE2-037E-706F-16C5-F5D9C7EC7121,Sydney,32°C,15,5km/h,Yes,8mm
A34FC520-699D-6B9D-9EB4-CF09AF0F5C12,Melbourne,36°C,12,4km/h,No,5mm
363F42DE-419B-1CB8-8448-B83948FB31A7,Melbourne,33°C,55,6km/h,No,9mm
B60AD5CC-1DE5-6016-56B0-7101D83B1FB3,Adelaide,34°C,53,4km/h,No,3mm
899CAE35-865B-71B1-843A-810D8ED63F2F,Cairns,34°C,24,7km/h,No,4mm
70FC2E50-65B9-A3EB-1978-DE0B4FDF3538,Cairns,36°C,59,3km/h,No,4mm
8102473B-2746-2BBE-40DF-E707255971D6,Adelaide,27°C,9,7km/h,Yes,11mm
41659653-1BA0-9C38-3722-096C48FA8144,Sydney,30°C,19,6km/h,No,7mm
203062A4-3A37-27AF-610B-77F44D9420F0,Perth,33°C,52,7km/h,Yes,7mm
D9302833-897B-0E33-75CD-F247644D117C,Darwin,30°C,29,4km/h,Yes,15mm
BCC4A94C-736B-9B93-493E-13E0D2C01D6E,Adelaide,30°C,25,5km/h,Yes,11mm
40784D6E-28E2-3099-2F60-6A5324E7840A,Melbourne,32°C,23,7km/h,No,9mm
ADC6DFEC-A6BA-09CE-6126-F54EB1BD25AF,Darwin,36°C,28,7km/h,No,3mm
FDE82CEC-3A65-A535-7A1C-D15B028E7AA9,Perth,36°C,28,6km/h,No,3mm
AF87D240-9F74-70A9-994D-4B04AE9D725E,Perth,31°C,14,5km/h,No,5mm
305A7FFE-5400-7B6C-3799-ED39217551CA,Perth,31°C,33,4km/h,Yes,5mm
FF8F1F1A-4C1D-43F5-8CB6-AFB53B5A1ECF,Sydney,35°C,25,5km/h,No,3mm
A9807A9C-3351-502B-503F-EE1E030F95E3,Adelaide,30°C,53,4km/h,Yes,8mm
A10BD1EC-2373-919F-667E-699B82888717,Sydney,35°C,36,3km/h,No,4mm
6D452BF9-9EC0-5842-4445-9F6E421F1C6B,Sydney,30°C,11,5km/h,Yes,10mm
0A7500D9-7F30-9BF3-334C-50DDA16E7F57,Perth,35°C,21,3km/h,No,4mm
E289CE08-0906-65AD-9798-CFCF447D9377,Melbourne,33°C,59,3km/h,Yes,6mm
7D4BF9AC-6D58-0FE6-5BDB-EA8933775C97,Perth,34°C,8,4km/h,Yes,6mm
8159088F-518A-9C3D-6C88-CCF913F8037C,Cairns,33°C,52,3km/h,No,8mm
8B42DD23-306F-30F2-9839-501763DFA68E,Perth,34°C,59,5km/h,No,6mm
1936CB27-414B-0462-97C0-2C241501535C,Cairns,35°C,54,6km/h,No,4mm
5E0D9620-4747-0D55-0DF5-423B8C12619F,Adelaide,32°C,15,6km/h,No,9mm
D723E0F5-5104-31B1-9E7C-FB60F68E9D67,Cairns,32°C,41,7km/h,No,6mm
B8144266-23ED-8473-2C66-54ADDCD750BA,Cairns,34°C,58,4km/h,No,3mm
56E5B20E-34E7-6024-1853-1636A26B4B02,Cairns,34°C,31,5km/h,No,4mm
D2AC3479-40CB-7C20-39B5-BC01237A3A4B,Melbourne,28°C,57,3km/h,Yes,13mm
9593394B-9226-2C66-02F6-673522111905,Melbourne,33°C,13,7km/h,No,9mm
FE636936-7F58-70FE-8E4A-C06E0A410228,Cairns,36°C,53,5km/h,No,3mm
27C0DFDF-1B7E-24B5-1D47-18341AFE0F95,Perth,32°C,37,4km/h,No,8mm
541057C3-0A2F-4422-0DD9-0C57030896BC,Melbourne,33°C,15,5km/h,No,5mm
C86FF0B9-5C48-21F6-7E13-78B6BD18070F,Sydney,34°C,10,4km/h,No,3mm
8A2B73B7-3C8E-7F6E-65C4-A9C1F76A7420,Perth,33°C,43,7km/h,Yes,7mm
BDB94ADE-1748-3A1F-2AB1-A5CEEEB02822,Perth,30°C,39,7km/h,No,8mm
1B8D36B1-3A38-2C8D-2460-46F30AB96B23,Adelaide,29°C,16,7km/h,Yes,15mm
8948C86E-8588-1A78-2262-139DD8DDA1D4,Darwin,36°C,41,6km/h,No,3mm
94350836-A411-72C4-346A-7375AEE53E92,Adelaide,29°C,30,3km/h,Yes,13mm
380D0490-9D37-26C0-0EE8-CA93242F9EEC,Adelaide,28°C,25,6km/h,Yes,13mm
F1D99831-6D6C-5FE6-A7A0-286C1B8A212F,Cairns,35°C,13,7km/h,No,4mm
4F66B728-78B3-0E16-659D-E4075CC48699,Sydney,33°C,26,7km/h,Yes,9mm
D96F86C8-6A3A-2F37-A3F7-24659EC60798,Perth,30°C,22,5km/h,Yes,9mm
CA0DEA6F-44EC-6813-60AA-514B50E295D3,Cairns,35°C,7,3km/h,No,3mm
1DC68BC4-85B7-72C4-29F8-D56A073D2829,Sydney,30°C,13,5km/h,Yes,14mm
864683C8-863D-645E-69F7-4FF171B300CF,Sydney,36°C,16,3km/h,No,5mm
BD6815E7-68A1-5491-5C2B-22B5423A4D69,Adelaide,30°C,32,7km/h,No,9mm
0D7800F7-A579-8834-34D9-4B28D08A7DC8,Perth,36°C,46,3km/h,No,4mm
1A4932A6-3B0C-2915-71E5-0575D1022175,Darwin,33°C,28,5km/h,No,6mm
50073C88-7CDA-50AD-A772-DC450ABA156C,Adelaide,30°C,33,6km/h,Yes,14mm
3BFCCA2C-69E8-6B01-0DC4-EB2A95B089DE,Perth,36°C,23,5km/h,No,4mm
92E77AD1-0F91-67CB-9DD4-97DA387B1469,Melbourne,34°C,21,6km/h,No,3mm
7AE251FC-5677-2986-7AED-498658A6A069,Cairns,30°C,54,3km/h,Yes,14mm
757AF1B0-22ED-5027-9C0C-02993EF17DEE,Cairns,27°C,26,3km/h,Yes,15mm
6664D8C6-04EC-1C1A-A29F-B59F920B26AB,Perth,34°C,11,4km/h,No,3mm
AEC03753-5331-13EE-5844-03AEC76F1169,Perth,31°C,56,7km/h,Yes,5mm
88DCE3BD-7D59-9351-66D9-36A809719BB3,Cairns,35°C,46,4km/h,No,5mm
CB027421-4E2E-8367-5617-ED42AFB462FD,Melbourne,33°C,55,5km/h,No,7mm
0A81ECB0-2BF8-1D7B-46AC-8F9FE2291ADB,Darwin,35°C,14,3km/h,No,3mm
6414C808-74A7-18A3-3ED6-2B6C4B183950,Sydney,27°C,32,4km/h,Yes,11mm
3D08B9A4-324B-22FB-6C8C-0DEA5039743B,Sydney,36°C,19,5km/h,No,5mm
9F84C25F-5FFD-50E5-A1E4-C305AD705F4E,Melbourne,35°C,53,5km/h,No,5mm
EC4F3721-76B7-585C-7634-DF345E4793DA,Adelaide,35°C,11,4km/h,No,5mm
D111DF87-685C-338C-3052-1056F8711797,Darwin,31°C,20,3km/h,No,7mm
22B74785-94B4-9798-7FC1-8877A3F26A2B,Darwin,29°C,57,3km/h,Yes,15mm
F2A167EE-6593-6253-81D6-C956613477E6,Adelaide,34°C,60,4km/h,No,8mm
CEAE86CD-430C-871B-8142-79541451855E,Darwin,34°C,35,3km/h,No,7mm
B4ABFA99-3FD9-3EF1-9014-A081D72E5D60,Cairns,33°C,29,7km/h,Yes,9mm
E8DA208F-5BFE-9F60-1272-61F3868E2209,Sydney,34°C,15,7km/h,No,4mm
F572A503-2DA2-4C84-1231-EC7D66C3532A,Perth,35°C,42,3km/h,No,5mm
DDC2158F-7278-4826-82BC-343F2FD33CB7,Adelaide,29°C,14,6km/h,Yes,10mm
D5E8AF0C-6FEE-8D76-4233-A29534B03018,Sydney,30°C,8,3km/h,Yes,15mm
A0F5C41F-0CD7-2654-2349-82023556824D,Adelaide,29°C,20,4km/h,Yes,15mm
5D70841F-3A1D-A4DB-9608-C46652D67F57,Perth,28°C,48,5km/h,Yes,15mm
578B9FEB-96FD-94F3-3467-699BE6C65D72,Darwin,32°C,48,6km/h,Yes,9mm
95FA24A7-2337-1C9A-571B-2BE37171A080,Perth,30°C,42,4km/h,No,8mm
0F917DCA-27D1-6B2A-32AE-769B37E74975,Cairns,29°C,8,7km/h,Yes,12mm
7BA20F75-0F1A-45CF-474A-93051E013B0A,Melbourne,36°C,27,3km/h,No,3mm
52464BEA-7698-A764-0F6A-07B4DB5E0CCD,Cairns,31°C,45,7km/h,No,8mm
2AB5F8F7-483E-68C9-0E2F-B83DDD1B9DCE,Darwin,29°C,32,5km/h,Yes,11mm
46745EC2-61ED-A1A0-39A3-AA132269A0B3,Perth,31°C,44,5km/h,Yes,6mm
791B44BC-8684-3F37-0E89-07F5BF5F27ED,Melbourne,31°C,15,4km/h,No,6mm
A118A3E6-9DCA-2D5D-0E76-AC3DCD547FAD,Melbourne,35°C,14,4km/h,No,3mm
FB32D351-2625-77F7-44F7-991BC1D998F8,Perth,30°C,6,4km/h,Yes,14mm
916EADE2-919F-7787-8431-1EC1F1169A86,Sydney,35°C,38,5km/h,No,4mm
E84A4A51-436F-8F42-20D0-38E16A73725F,Adelaide,27°C,27,5km/h,Yes,14mm
7BF36B44-43E0-0A42-4E62-930651338212,Cairns,31°C,57,7km/h,No,6mm
E415C884-0849-00E3-0343-E4F71B608A3E,Perth,28°C,46,6km/h,Yes,11mm
E07D54CF-02C7-1608-1B1C-932D5FAF4C07,Perth,30°C,47,6km/h,Yes,12mm
37AEE373-154D-920A-7687-8FC608715884,Adelaide,30°C,50,6km/h,Yes,11mm
C0811565-642F-3275-A43E-5FAAB2CC6AF4,Perth,30°C,36,7km/h,Yes,14mm
7DAC60A4-7CF9-9A47-A110-962C2A93714A,Perth,30°C,43,7km/h,Yes,15mm
904A9BA1-11C4-951B-8916-9EBFBC698CA6,Perth,34°C,19,6km/h,Yes,6mm
18DA4AF6-1A62-983F-A3B9-6E65125A8DDE,Melbourne,35°C,8,6km/h,No,3mm
F960E2B5-02EC-34D5-8A48-EBEBA7F68E1A,Cairns,33°C,14,3km/h,Yes,6mm
34C63AB9-0969-3CDE-284F-7EBDA7600F5D,Adelaide,28°C,42,3km/h,Yes,14mm
B1BDA9B0-7F9E-0E67-6ED3-2B6A855B60B9,Perth,27°C,35,3km/h,Yes,12mm
732D615C-4CCD-7995-060A-7E8ADCBE720A,Darwin,32°C,25,7km/h,Yes,9mm
71BE5E9D-945C-3250-6F87-69F711B5353C,Darwin,30°C,60,5km/h,Yes,7mm
0270EA6C-74DA-9C6E-638A-110C69776B6B,Cairns,30°C,52,6km/h,No,6mm
774F5AB6-880F-9329-8AD2-9AE5654D7A6E,Perth,31°C,44,6km/h,Yes,8mm
236560DF-26D1-2CD1-75F9-B35237002E12,Adelaide,35°C,12,3km/h,No,4mm
1E919D5A-5B90-044D-076F-E1C7D9A60A15,Adelaide,35°C,12,7km/h,No,5mm
1BE3F3FB-705D-A631-37C8-C34FF00E7B65,Cairns,27°C,12,7km/h,Yes,11mm
222438DA-9690-334B-891A-180AB6F5602F,Melbourne,33°C,29,7km/h,Yes,6mm
CE1F40F9-4888-173B-8E62-B7A6B1D5467B,Melbourne,33°C,16,7km/h,No,5mm
39E004CC-5C90-6262-70DE-12C664A0294A,Darwin,32°C,46,3km/h,No,6mm
38C3D984-5EF1-1D30-7A3C-9D8BB50B5515,Sydney,32°C,55,4km/h,Yes,9mm
D02CA13E-46C2-9A29-5B07-192A9FB67491,Melbourne,28°C,44,6km/h,Yes,12mm
D496CB70-454C-8BBB-7D48-C1E3C51E4498,Melbourne,30°C,8,5km/h,No,8mm
3ADCC81F-052D-1909-84BF-2276688D6A7C,Sydney,35°C,15,5km/h,No,5mm
6BF84651-A5AE-20E6-6CA8-4A5CFCBE086B,Sydney,30°C,12,5km/h,Yes,13mm
F4A53A5E-1816-5055-5F50-455741C35129,Cairns,30°C,58,4km/h,No,9mm
0A87CE31-3A42-2423-6AF2-128AB28648E3,Perth,34°C,28,7km/h,No,9mm
2FFA05F2-A795-04A3-5802-7B0A79DA8297,Darwin,30°C,19,6km/h,Yes,13mm
BD8E2ED9-28A0-489F-236C-F3B40ADF9BE2,Sydney,35°C,34,6km/h,No,3mm
3C628871-83BE-2E15-242A-9372747B8B39,Cairns,33°C,47,6km/h,No,7mm
E93EF977-8427-7D11-326A-47C1CA656569,Darwin,32°C,60,3km/h,Yes,5mm
473324B4-616A-8567-1EC8-735B7C275FB7,Perth,30°C,51,5km/h,No,5mm
E802CD1A-26BB-90CB-3849-570BC4A94D9E,Melbourne,28°C,14,5km/h,Yes,11mm
43D31068-75E0-376A-3B1C-7D9C927B6190,Darwin,34°C,49,6km/h,No,5mm
7B70D21C-6A35-075C-110E-F48136E00A39,Melbourne,33°C,29,6km/h,Yes,9mm
DD88B514-365D-88A5-780C-91C6A7571EE3,Perth,34°C,26,6km/h,No,3mm
D91AFD34-94E1-9979-77C8-F01F66F9036E,Sydney,33°C,34,6km/h,No,8mm
14ABBB86-6C2B-3AEE-0CFD-E60CAD2A5CB1,Adelaide,32°C,58,7km/h,Yes,9mm
B5709198-0C84-7FE9-76DA-97AF29C4182D,Adelaide,27°C,6,5km/h,Yes,10mm
BB83D94F-A374-7A90-7830-8EC9F83713CE,Cairns,29°C,20,3km/h,Yes,12mm
ACBF09DA-0213-0FA3-8660-BC83283D30C8,Sydney,29°C,52,5km/h,Yes,14mm
A63E04EB-72BB-7DB0-A49E-9B8C14C51433,Cairns,33°C,43,7km/h,Yes,8mm
1D24DB3B-064B-9A7D-9F23-AFF94B161172,Sydney,34°C,47,4km/h,No,5mm
6FD7B98D-9A39-18F7-8EEA-786CB924373A,Darwin,30°C,8,3km/h,Yes,11mm
2A852337-3C82-748B-119D-6A396BC2125A,Cairns,35°C,58,6km/h,No,3mm
4448883D-7253-2161-84A3-BCF024604EEB,Adelaide,30°C,46,3km/h,No,7mm
98DA5B15-3B60-15A7-2053-C30397E58283,Sydney,34°C,25,3km/h,Yes,5mm
DCC4B65C-927E-8202-1548-02EB9E610394,Sydney,28°C,16,6km/h,Yes,11mm
5B85A669-4861-A1C4-1C0B-20E864B584CA,Darwin,32°C,39,3km/h,Yes,8mm
DEE6570A-0368-8B7C-1F2A-671537479A0C,Cairns,34°C,36,5km/h,No,4mm
15BD60B1-6C83-7187-2ED5-16035D3B7FB4,Sydney,30°C,53,5km/h,No,6mm
7AEF7BD4-365E-4078-7FA9-8EF127FE91BF,Darwin,30°C,18,6km/h,No,8mm
F46DA35A-742C-2A54-4918-F2EC7BC431C0,Perth,35°C,13,4km/h,No,3mm
8376F966-3DE7-50E9-0F3C-E55F84248B54,Adelaide,34°C,21,3km/h,Yes,8mm
AC622762-4146-5C17-955A-F0C232E27029,Adelaide,35°C,34,5km/h,No,4mm
6998CC57-9E04-59DE-4E6C-88001AE18842,Adelaide,35°C,24,5km/h,No,3mm
54BEE3F4-2653-6154-7D07-36DDE7A005AC,Cairns,30°C,45,6km/h,Yes,10mm
7FEB053D-4ED7-27FE-681D-B9A1AE286B74,Cairns,33°C,38,7km/h,Yes,6mm
925F022E-6BB7-6715-8856-2C937DC802E5,Sydney,30°C,15,7km/h,Yes,10mm
EEFF3227-A121-1524-6B69-84DADCA961AE,Darwin,34°C,58,4km/h,Yes,7mm
0B7950A0-4B25-87DB-8F42-BBA3B7923799,Perth,34°C,6,6km/h,No,8mm
810E3E06-8D81-72AC-341A-32319E833A79,Cairns,33°C,40,5km/h,No,6mm
FC2FF9FA-59FA-6085-79DB-E7419F7E239B,Melbourne,34°C,55,7km/h,No,4mm
8B4B6456-9E1F-102E-9F6F-915BE8614FE1,Adelaide,36°C,49,3km/h,No,4mm
C4C0765E-3A58-482E-228D-EFD6AA584DB6,Darwin,27°C,49,5km/h,Yes,11mm
98BC64CA-4F34-1331-8CA0-3F149AC77D40,Melbourne,33°C,26,3km/h,Yes,6mm
D26C7AB8-5C5D-4590-34D0-C01672EA165D,Sydney,32°C,53,5km/h,No,5mm
F14ECDD9-6219-710A-66FE-BD28FF5790F3,Darwin,35°C,57,7km/h,No,4mm
89D796C8-7C0E-77B4-81D2-52F87C4A349D,Adelaide,35°C,24,6km/h,No,3mm
10397F8C-0738-90C6-A2D2-DDA842C44ECA,Adelaide,28°C,20,5km/h,Yes,12mm
D5E9904E-3B1E-1BEE-8CD5-EDE908B18A2C,Melbourne,31°C,57,7km/h,No,7mm
FC40F99E-7B82-3EB0-2C35-4AF1C04E2C49,Sydney,32°C,27,5km/h,No,7mm
3B18E4BA-840E-87B7-5DB0-A4FC6BBDA151,Darwin,28°C,25,5km/h,Yes,11mm
D0F2C136-6BD2-9EBF-4B7A-75FE1670A15E,Adelaide,29°C,53,4km/h,Yes,11mm
1ADD70EE-715F-9842-55FB-8296F6E099E9,Darwin,34°C,49,7km/h,No,4mm
C7D1C1BC-0BFC-3EA2-8E64-17ECB3538C0C,Darwin,33°C,56,7km/h,No,7mm
EEDF2999-32BC-3EC7-6840-09EC4B2A34DA,Melbourne,30°C,56,7km/h,Yes,15mm
5ABB64D3-64B9-3F57-1CB1-AAA7185053F5,Melbourne,30°C,46,7km/h,Yes,12mm
9BFE7AD0-0DDB-49C0-4066-BC774CF54229,Perth,31°C,21,4km/h,Yes,5mm
AE0BAAE4-0029-3FD5-A11F-2B2181D29609,Darwin,36°C,15,6km/h,No,4mm
F388465C-473C-6888-50A6-015B82036CDE,Perth,30°C,13,7km/h,Yes,9mm
CEA846DB-8E50-2694-7431-0F4DE46A8EEC,Perth,31°C,6,5km/h,Yes,7mm
522B2C9E-7BD7-9753-0601-10EB19F81E8D,Adelaide,29°C,19,3km/h,Yes,12mm
632C8275-4E47-9423-4251-ED7CB0D05378,Melbourne,34°C,57,5km/h,No,5mm
D3D8A59F-8AAF-8C35-51B4-C4713784023D,Darwin,34°C,34,4km/h,No,4mm
5E1FF926-7E40-126F-461E-6EADF3F68305,Adelaide,30°C,49,3km/h,Yes,12mm
7F5F2B91-591E-9177-4E22-12F8FE5E3D78,Cairns,35°C,13,6km/h,No,4mm
0C55B2EF-A394-7BE2-43D1-477186C18E81,Perth,34°C,54,5km/h,No,3mm
A917C918-3887-0390-42E5-AFE9F47E2C66,Adelaide,31°C,24,5km/h,No,7mm
DF26BA42-55FE-1278-0B9C-550428515ADA,Melbourne,29°C,39,3km/h,Yes,15mm
